Date,Open,High,Low,Close,Volume,Adj Close
2010-06-01,108.349998,109.949997,107.370003,107.529999,277909400,95.09063
2010-05-28,110.639999,110.720001,108.849998,109.370003,297933500,96.717777
2010-05-27,109.190002,110.800003,108.779999,110.760002,300870500,97.946977
2010-05-26,108.480003,109.470001,106.849998,107.169998,349719300,94.772275
2010-05-25,105.110001,107.870003,104.379997,107.82,396505200,95.347082
2010-05-24,108.519997,109.389999,107.610001,107.709999,269823000,95.249807
2010-05-21,105.910004,109.379997,105.360001,109.110001,500909400,96.487852
2010-05-20,109.379997,109.889999,107.470001,107.540001,530418300,95.099475
2010-05-19,111.769997,112.769997,110.360001,111.760002,394742700,98.831294
2010-05-18,114.879997,115.220001,112.029999,112.400002,360556800,99.397257
2010-05-17,114.199997,114.519997,111.769997,113.949997,325739800,100.767944
2010-05-14,115.120003,115.330002,112.870003,113.889999,345601400,100.714888
2010-05-13,117.129997,117.68,115.889999,115.989998,234452500,102.571952
2010-05-12,116.290001,117.620003,116.089996,117.449997,235607100,103.863055
2010-05-11,115.07,117.360001,114.910004,115.830002,317849800,102.430465
2010-05-10,115.809998,116.650002,114.910004,116.160004,396159600,102.722291
2010-05-07,112.639999,113.769997,109.410004,111.260002,637558800,98.389136
2010-05-06,116.260002,117.00,105.00,112.940002,647356600,99.874789
2010-05-05,116.559998,117.800003,115.970001,116.82,328973200,103.305937
2010-05-04,119.010002,119.029999,116.919998,117.519997,360353400,103.924957
2010-05-03,119.379997,120.68,119.199997,120.349998,182747900,106.427576
2010-04-30,120.879997,121.010002,118.779999,118.809998,270000900,105.065727
2010-04-29,120.099998,121.110001,120.07,120.860001,193775000,106.87858
2010-04-28,119.050003,119.68,118.269997,119.379997,300674100,105.569787
2010-04-27,120.650002,121.339996,118.25,118.480003,355853300,104.773907
2010-04-26,121.849998,122.120003,121.230003,121.349998,143457300,107.311893
2010-04-23,120.940002,121.860001,120.629997,121.809998,177335500,107.718678
2010-04-22,119.809998,121.169998,119.120003,121.019997,115360300,107.020067
2010-04-21,120.949997,121.230003,119.989998,120.660004,192910100,106.701719
2010-04-20,120.559998,120.980003,119.870003,120.879997,157708000,106.896263
2010-04-19,119.010002,119.93,118.470001,119.809998,217947800,105.950044
2010-04-16,120.860001,121.290001,118.75,119.360001,366786700,105.552104
2010-04-15,120.989998,121.57,120.949997,121.290001,144615300,107.258836
2010-04-14,120.269997,121.190002,120.080002,121.190002,161609000,107.170406
2010-04-13,119.620003,120.040001,119.00,119.830002,125043600,105.967734
2010-04-12,119.699997,120.050003,119.559998,119.739998,110279000,105.888142
2010-04-09,119.019997,119.599998,118.800003,119.550003,133006500,105.720126
2010-04-08,117.949997,118.970001,117.599998,118.769997,158704000,105.030353
2010-04-07,118.800003,119.360001,117.809998,118.360001,184576300,104.667787
2010-04-06,118.419998,119.25,118.290001,119.040001,110384200,105.269123
2010-04-05,118.25,118.839996,117.919998,118.760002,105847600,105.021515
2010-04-01,117.800003,118.25,117.099998,117.800003,161215200,104.172571
2010-03-31,116.949997,117.519997,116.610001,117.00,161078700,103.465115
2010-03-30,117.459999,117.830002,116.910004,117.400002,145772500,103.818843
2010-03-29,117.169998,117.529999,116.690002,117.32,134513500,103.748096
2010-03-26,116.870003,117.419998,116.120003,116.580002,205808500,103.093703
2010-03-25,117.629997,118.169998,116.510002,116.650002,223396300,103.155605
2010-03-24,116.970001,117.43,115.580002,116.839996,196072600,103.323621
2010-03-23,116.760002,117.510002,116.379997,117.410004,182941600,103.827688
2010-03-22,115.309998,116.800003,115.239998,116.589996,184477800,103.102541
2010-03-19,115.970001,117.290001,115.519997,115.970001,226641100,102.554269
